,Month,Year,UNRATE,GDP,CPI,President,Party
1719,January,2020,3.6,21751.238,259.127,Donald Trump,Republican
1720,February,2020,3.5,21153.589,259.25,Donald Trump,Republican
1721,March,2020,4.4,20555.940000000002,258.076,Donald Trump,Republican
1722,April,2020,14.8,19958.291,256.032,Donald Trump,Republican
1723,May,2020,13.2,20540.339666666667,255.802,Donald Trump,Republican
1724,June,2020,11.0,21122.388333333336,257.042,Donald Trump,Republican
1725,July,2020,10.2,21704.437,258.352,Donald Trump,Republican
1726,August,2020,8.4,21832.011333333336,259.316,Donald Trump,Republican
1727,September,2020,7.8,21959.585666666666,259.997,Donald Trump,Republican
1728,October,2020,6.9,22087.16,260.319,Donald Trump,Republican
1729,November,2020,6.7,22285.004333333334,260.911,Donald Trump,Republican
1730,December,2020,6.7,22482.848666666665,262.045,Donald Trump,Republican
1731,January,2021,6.4,22680.693,262.639,Donald Trump,Republican
1732,January,2021,6.4,22680.693,262.639,Joe Biden,Democratic
1733,February,2021,6.2,22929.098666666665,263.573,Joe Biden,Democratic
1734,March,2021,6.1,23177.504333333334,264.847,Joe Biden,Democratic
1735,April,2021,6.1,23425.91,266.625,Joe Biden,Democratic
1736,May,2021,5.8,23611.399666666668,268.404,Joe Biden,Democratic
1737,June,2021,5.9,23796.889333333333,270.71,Joe Biden,Democratic
1738,July,2021,5.4,23982.379,271.965,Joe Biden,Democratic
1739,August,2021,5.1,24259.452666666668,272.752,Joe Biden,Democratic
1740,September,2021,4.7,24536.52633333333,273.942,Joe Biden,Democratic
1741,October,2021,4.5,24813.6,276.528,Joe Biden,Democratic
1742,November,2021,4.2,24959.182333333334,278.824,Joe Biden,Democratic
1743,December,2021,3.9,25104.764666666666,280.806,Joe Biden,Democratic
1744,January,2022,4.0,25250.347,282.542,Joe Biden,Democratic
1745,February,2022,3.8,25453.995333333336,284.525,Joe Biden,Democratic
1746,March,2022,3.7,25657.643666666667,287.467,Joe Biden,Democratic
1747,April,2022,3.7,25861.292,288.582,Joe Biden,Democratic
1748,May,2022,3.6,26019.629333333334,291.299,Joe Biden,Democratic
1749,June,2022,3.6,26177.966666666667,295.072,Joe Biden,Democratic
1750,July,2022,3.5,26336.304,294.94,Joe Biden,Democratic
1751,August,2022,3.6,26481.040666666668,295.162,Joe Biden,Democratic
1752,September,2022,3.5,26625.77733333333,296.421,Joe Biden,Democratic
1753,October,2022,3.6,26770.514,297.979,Joe Biden,Democratic
1754,November,2022,3.6,26919.157666666666,298.708,Joe Biden,Democratic
1755,December,2022,3.5,27067.801333333333,298.808,Joe Biden,Democratic
1756,January,2023,3.5,27216.445,300.456,Joe Biden,Democratic
1757,February,2023,3.6,27320.981666666667,301.476,Joe Biden,Democratic
1758,March,2023,3.5,27425.518333333333,301.643,Joe Biden,Democratic
1759,April,2023,3.4,27530.055,302.858,Joe Biden,Democratic
1760,May,2023,3.6,27711.652000000002,303.316,Joe Biden,Democratic
1761,June,2023,3.6,27893.249,304.099,Joe Biden,Democratic
1762,July,2023,3.5,28074.846,304.615,Joe Biden,Democratic
1763,August,2023,3.7,28191.471333333335,306.138,Joe Biden,Democratic
1764,September,2023,3.8,28308.096666666668,307.374,Joe Biden,Democratic
1765,October,2023,3.9,28424.722,307.653,Joe Biden,Democratic
1766,November,2023,3.7,28519.201666666668,308.087,Joe Biden,Democratic
1767,December,2023,3.8,28613.681333333334,308.735,Joe Biden,Democratic
1768,January,2024,3.7,28708.161,309.794,Joe Biden,Democratic
1769,February,2024,3.9,28854.455333333335,311.022,Joe Biden,Democratic
1770,March,2024,3.9,29000.749666666667,312.107,Joe Biden,Democratic
1771,April,2024,3.9,29147.044,313.016,Joe Biden,Democratic
1772,May,2024,4.0,29268.584000000003,313.14,Joe Biden,Democratic
1773,June,2024,4.1,29390.124,313.131,Joe Biden,Democratic
1774,July,2024,4.2,29511.664,313.566,Joe Biden,Democratic
1775,August,2024,4.2,29616.170000000002,314.131,Joe Biden,Democratic
1776,September,2024,4.1,29720.676,314.851,Joe Biden,Democratic
1777,October,2024,4.1,29825.182,315.564,Joe Biden,Democratic
1778,November,2024,4.2,29897.492333333335,316.449,Joe Biden,Democratic
1779,December,2024,4.1,29969.802666666666,317.603,Joe Biden,Democratic
1780,January,2025,4.0,30042.113,319.086,Joe Biden,Democratic
1781,January,2025,4.0,30042.113,319.086,Donald Trump,Republican
1782,February,2025,4.1,30189.985,319.775,Donald Trump,Republican
1783,March,2025,4.2,30337.857,319.615,Donald Trump,Republican
1784,April,2025,4.2,30485.729,320.321,Donald Trump,Republican
1785,May,2025,4.2,30485.729,320.58,Donald Trump,Republican
1786,June,2025,4.1,30485.729,321.5,Donald Trump,Republican
1787,July,2025,4.2,30485.729,322.132,Donald Trump,Republican
1788,August,2025,4.3,30485.729,323.364,Donald Trump,Republican
1789,September,2025,4.4,30485.729,324.368,Donald Trump,Republican
